epoch,lr,phase,train_acc,train_loss,val_acc,val_loss,val_macro_f1
1,,frozen,0.2606936416184971,2.7388738284910343,0.38333332538604736,2.3443854729334515,0.2871701920285299
2,,frozen,0.4144508670520231,2.1139569133692393,0.49444442987442017,2.1027440283033583,0.42206880208959996
3,,frozen,0.48265895953757226,1.8368201145546974,0.5166666507720947,1.8606375734011331,0.4824711720872766
4,,frozen,0.5265895953757226,1.695244465811404,0.5638889074325562,1.76868863635593,0.5124582679622303
5,,frozen,0.5433526011560693,1.5759591871603376,0.5416666865348816,1.7270050598515405,0.49709848980503774
1,9.890738003669029e-05,finetune,0.6034682080924856,1.247643926102302,0.6388888955116272,1.199233738084634,0.6126524744729765
2,9.567727288213005e-05,finetune,0.7132947976878613,0.9379642867628549,0.6499999761581421,1.1280288731058439,0.6206800840408263
3,9.045084971874738e-05,finetune,0.776878612716763,0.7059796649596595,0.6305555701255798,1.2281094463335143,0.5978045126904534
4,8.345653031794292e-05,finetune,0.8179190751445087,0.5683374496553675,0.6388888955116272,1.1823968215949006,0.6194365053144149
5,7.500000000000001e-05,finetune,0.8485549132947977,0.48320605319014864,0.6611111164093018,1.2756778256760704,0.6394517082661646
6,6.545084971874738e-05,finetune,0.876878612716763,0.3967007479915729,0.6416666507720947,1.2669629897094434,0.6168801223618039
7,5.522642316338269e-05,finetune,0.8982658959537573,0.3389978106311291,0.6722221970558167,1.2441957064800793,0.651492556249991
8,4.4773576836617344e-05,finetune,0.9341040462427745,0.2408188711658034,0.6666666865348816,1.369485822858082,0.6512476934267667
9,3.454915028125264e-05,finetune,0.9358381502890173,0.2252429791656188,0.644444465637207,1.3458405341539117,0.6252191201335696
10,2.5000000000000018e-05,finetune,0.9421965317919075,0.18435313952709897,0.6472222208976746,1.3498392687489589,0.6242349763158681
